experiment,model,train_groups,calibration_groups,test_groups,features,n_train,n_calibration,n_test,unsafe_rate_test,auroc,auprc,brier,threshold,certified,false_certifications,false_certification_rate,fcr_upper,safe_coverage,abstention
leave_one_task_family:real_repo_click_deprecation,regularized_logistic,local_policy_docs/synthetic_policy_docs/s1;local_policy_docs/synthetic_policy_docs/s2;requests/real_repo_requests_tls/s1;requests/real_repo_requests_tls/s2,local_policy_docs/synthetic_policy_docs/s3;requests/real_repo_requests_tls/s3,click/real_repo_click_deprecation/s1;click/real_repo_click_deprecation/s2;click/real_repo_click_deprecation/s3;click/real_repo_click_deprecation/s4;click/real_repo_click_deprecation/s5,"nominal_agent_count,mean_confidence,output_jaccard,source_overlap,source_coverage,query_similarity,search_path_overlap,marginal_discovery_gain_last,marginal_discovery_gain_mean,novelty_decay,singletons_f1,doubletons_f2,singleton_ratio,doubleton_ratio,per_source_singleton_density,good_turing_missing_mass,chao_missing_ratio,corr_adjusted_chao_missing_ratio,effective_exploration_size",624,312,780,0.985897435897436,0.5503014540725855,0.9743214916409197,0.17114495933705998,,0,0,,,0.0,1.0
leave_one_task_family:real_repo_click_deprecation,gradient_boosting,local_policy_docs/synthetic_policy_docs/s1;local_policy_docs/synthetic_policy_docs/s2;requests/real_repo_requests_tls/s1;requests/real_repo_requests_tls/s2,local_policy_docs/synthetic_policy_docs/s3;requests/real_repo_requests_tls/s3,click/real_repo_click_deprecation/s1;click/real_repo_click_deprecation/s2;click/real_repo_click_deprecation/s3;click/real_repo_click_deprecation/s4;click/real_repo_click_deprecation/s5,"nominal_agent_count,mean_confidence,output_jaccard,source_overlap,source_coverage,query_similarity,search_path_overlap,marginal_discovery_gain_last,marginal_discovery_gain_mean,novelty_decay,singletons_f1,doubletons_f2,singleton_ratio,doubleton_ratio,per_source_singleton_density,good_turing_missing_mass,chao_missing_ratio,corr_adjusted_chao_missing_ratio,effective_exploration_size",624,312,780,0.985897435897436,0.5907317649840407,0.9879463423709267,0.06566882214916185,,0,0,,,0.0,1.0
leave_one_task_family:real_repo_requests_tls,regularized_logistic,local_policy_docs/synthetic_policy_docs/s1;local_policy_docs/synthetic_policy_docs/s2;click/real_repo_click_deprecation/s1;click/real_repo_click_deprecation/s2,local_policy_docs/synthetic_policy_docs/s3;click/real_repo_click_deprecation/s3,requests/real_repo_requests_tls/s1;requests/real_repo_requests_tls/s2;requests/real_repo_requests_tls/s3;requests/real_repo_requests_tls/s4;requests/real_repo_requests_tls/s5,"nominal_agent_count,mean_confidence,output_jaccard,source_overlap,source_coverage,query_similarity,search_path_overlap,marginal_discovery_gain_last,marginal_discovery_gain_mean,novelty_decay,singletons_f1,doubletons_f2,singleton_ratio,doubleton_ratio,per_source_singleton_density,good_turing_missing_mass,chao_missing_ratio,corr_adjusted_chao_missing_ratio,effective_exploration_size",624,312,780,0.9948717948717949,0.3904639175257732,0.9946261416652451,0.17054371838223767,,0,0,,,0.0,1.0
leave_one_task_family:real_repo_requests_tls,gradient_boosting,local_policy_docs/synthetic_policy_docs/s1;local_policy_docs/synthetic_policy_docs/s2;click/real_repo_click_deprecation/s1;click/real_repo_click_deprecation/s2,local_policy_docs/synthetic_policy_docs/s3;click/real_repo_click_deprecation/s3,requests/real_repo_requests_tls/s1;requests/real_repo_requests_tls/s2;requests/real_repo_requests_tls/s3;requests/real_repo_requests_tls/s4;requests/real_repo_requests_tls/s5,"nominal_agent_count,mean_confidence,output_jaccard,source_overlap,source_coverage,query_similarity,search_path_overlap,marginal_discovery_gain_last,marginal_discovery_gain_mean,novelty_decay,singletons_f1,doubletons_f2,singleton_ratio,doubleton_ratio,per_source_singleton_density,good_turing_missing_mass,chao_missing_ratio,corr_adjusted_chao_missing_ratio,effective_exploration_size",624,312,780,0.9948717948717949,0.694909793814433,0.998140118344651,0.034532569479525245,,0,0,,,0.0,1.0
leave_one_task_family:synthetic_policy_docs,regularized_logistic,click/real_repo_click_deprecation/s1;click/real_repo_click_deprecation/s2;requests/real_repo_requests_tls/s1;requests/real_repo_requests_tls/s2,click/real_repo_click_deprecation/s3;requests/real_repo_requests_tls/s3,local_policy_docs/synthetic_policy_docs/s1;local_policy_docs/synthetic_policy_docs/s2;local_policy_docs/synthetic_policy_docs/s3;local_policy_docs/synthetic_policy_docs/s4;local_policy_docs/synthetic_policy_docs/s5,"nominal_agent_count,mean_confidence,output_jaccard,source_overlap,source_coverage,query_similarity,search_path_overlap,marginal_discovery_gain_last,marginal_discovery_gain_mean,novelty_decay,singletons_f1,doubletons_f2,singleton_ratio,doubleton_ratio,per_source_singleton_density,good_turing_missing_mass,chao_missing_ratio,corr_adjusted_chao_missing_ratio,effective_exploration_size",624,312,780,0.4564102564102564,0.1415889336442654,0.30599316875368887,0.5329097201035212,,0,0,,,0.0,1.0
leave_one_task_family:synthetic_policy_docs,gradient_boosting,click/real_repo_click_deprecation/s1;click/real_repo_click_deprecation/s2;requests/real_repo_requests_tls/s1;requests/real_repo_requests_tls/s2,click/real_repo_click_deprecation/s3;requests/real_repo_requests_tls/s3,local_policy_docs/synthetic_policy_docs/s1;local_policy_docs/synthetic_policy_docs/s2;local_policy_docs/synthetic_policy_docs/s3;local_policy_docs/synthetic_policy_docs/s4;local_policy_docs/synthetic_policy_docs/s5,"nominal_agent_count,mean_confidence,output_jaccard,source_overlap,source_coverage,query_similarity,search_path_overlap,marginal_discovery_gain_last,marginal_discovery_gain_mean,novelty_decay,singletons_f1,doubletons_f2,singleton_ratio,doubleton_ratio,per_source_singleton_density,good_turing_missing_mass,chao_missing_ratio,corr_adjusted_chao_missing_ratio,effective_exploration_size",624,312,780,0.4564102564102564,0.5457454420182319,0.48037792873323093,0.4948491968381034,,0,0,,,0.0,1.0
