task,budget,challenger,seed,decision,false_certification,safe,continue,abstain,cost,repair_gain,cumulative_recall,after_support_ratio,after_exposure_gini
requests,1,random,0,CONTINUE,False,False,True,False,1086,1,0.10738255033557047,0.2916666666666667,0.8846726190476191
requests,1,random,1,CONTINUE,False,False,True,False,314,5,0.12080536912751678,0.2916666666666667,0.8846726190476191
requests,1,random,2,CONTINUE,False,False,True,False,1086,1,0.10738255033557047,0.2916666666666667,0.8846726190476191
requests,1,random,3,CONTINUE,False,False,True,False,831,7,0.12751677852348994,0.2916666666666667,0.8846726190476191
requests,1,random,4,ABSTAIN,False,False,False,True,831,0,0.1040268456375839,0.25,0.888392857142857
requests,1,random,5,CONTINUE,False,False,True,False,831,33,0.21476510067114093,0.2916666666666667,0.8846726190476191
requests,1,random,6,CONTINUE,False,False,True,False,314,2,0.11073825503355705,0.2916666666666667,0.8846726190476191
requests,1,random,7,CONTINUE,False,False,True,False,1086,30,0.20469798657718122,0.2916666666666667,0.8846726190476191
requests,1,random,8,ABSTAIN,False,False,False,True,831,0,0.1040268456375839,0.25,0.888392857142857
requests,1,random,9,CONTINUE,False,False,True,False,314,2,0.11073825503355705,0.2916666666666667,0.8846726190476191
requests,1,random,10,CONTINUE,False,False,True,False,831,9,0.1342281879194631,0.2916666666666667,0.8846726190476191
requests,1,random,11,CONTINUE,False,False,True,False,696,4,0.1174496644295302,0.2916666666666667,0.8846726190476191
requests,1,random,12,CONTINUE,False,False,True,False,1039,42,0.24496644295302014,0.2916666666666667,0.8846726190476191
requests,1,random,13,ABSTAIN,False,False,False,True,1086,0,0.1040268456375839,0.25,0.8869047619047619
requests,1,random,14,CONTINUE,False,False,True,False,696,4,0.1174496644295302,0.2916666666666667,0.8846726190476191
requests,1,random,15,CONTINUE,False,False,True,False,1086,30,0.20469798657718122,0.2916666666666667,0.8846726190476191
requests,1,random,16,CONTINUE,False,False,True,False,1039,1,0.10738255033557047,0.2916666666666667,0.8846726190476191
requests,1,random,17,ABSTAIN,False,False,False,True,831,0,0.1040268456375839,0.25,0.888392857142857
requests,1,random,18,ABSTAIN,False,False,False,True,1086,0,0.1040268456375839,0.25,0.8869047619047619
requests,1,random,19,CONTINUE,False,False,True,False,1039,42,0.24496644295302014,0.2916666666666667,0.8846726190476191
requests,1,random,20,ABSTAIN,False,False,False,True,1086,0,0.1040268456375839,0.25,0.8869047619047619
requests,1,random,21,ABSTAIN,False,False,False,True,157,0,0.1040268456375839,0.2916666666666667,0.8846726190476191
requests,1,random,22,CONTINUE,False,False,True,False,831,9,0.1342281879194631,0.2916666666666667,0.8846726190476191
requests,1,random,23,CONTINUE,False,False,True,False,696,64,0.3187919463087248,0.2916666666666667,0.8846726190476191
requests,1,random,24,ABSTAIN,False,False,False,True,314,0,0.1040268456375839,0.25,0.8869047619047619
requests,1,random,25,CONTINUE,False,False,True,False,1039,1,0.10738255033557047,0.2916666666666667,0.8846726190476191
requests,1,random,26,CONTINUE,False,False,True,False,1086,1,0.10738255033557047,0.2916666666666667,0.8846726190476191
requests,1,random,27,CONTINUE,False,False,True,False,696,64,0.3187919463087248,0.2916666666666667,0.8846726190476191
requests,1,random,28,CONTINUE,False,False,True,False,1039,20,0.17114093959731544,0.2916666666666667,0.8846726190476191
requests,1,random,29,CONTINUE,False,False,True,False,1086,30,0.20469798657718122,0.2916666666666667,0.8846726190476191
requests,1,random,30,CONTINUE,False,False,True,False,696,38,0.23154362416107382,0.2916666666666667,0.8846726190476191
requests,1,random,31,ABSTAIN,False,False,False,True,1039,0,0.1040268456375839,0.25,0.8869047619047619
requests,1,random,32,ABSTAIN,False,False,False,True,1086,0,0.1040268456375839,0.25,0.8869047619047619
requests,1,random,33,ABSTAIN,False,False,False,True,1086,0,0.1040268456375839,0.25,0.8869047619047619
requests,1,random,34,ABSTAIN,False,False,False,True,696,0,0.1040268456375839,0.25,0.8891369047619047
requests,1,random,35,CONTINUE,False,False,True,False,696,38,0.23154362416107382,0.2916666666666667,0.8846726190476191
requests,1,random,36,ABSTAIN,False,False,False,True,314,0,0.1040268456375839,0.25,0.8869047619047619
requests,1,random,37,CONTINUE,False,False,True,False,696,4,0.1174496644295302,0.2916666666666667,0.8846726190476191
requests,1,random,38,ABSTAIN,False,False,False,True,157,0,0.1040268456375839,0.25,0.8876488095238095
requests,1,random,39,CONTINUE,False,False,True,False,1086,8,0.13087248322147652,0.2916666666666667,0.8846726190476191
requests,1,random,40,ABSTAIN,False,False,False,True,1039,0,0.1040268456375839,0.25,0.8869047619047619
requests,1,random,41,CONTINUE,False,False,True,False,1039,20,0.17114093959731544,0.2916666666666667,0.8846726190476191
requests,1,random,42,CONTINUE,False,False,True,False,696,38,0.23154362416107382,0.2916666666666667,0.8846726190476191
requests,1,random,43,CONTINUE,False,False,True,False,1039,1,0.10738255033557047,0.2916666666666667,0.8846726190476191
requests,1,random,44,CONTINUE,False,False,True,False,831,33,0.21476510067114093,0.2916666666666667,0.8846726190476191
requests,1,random,45,CONTINUE,False,False,True,False,1086,30,0.20469798657718122,0.2916666666666667,0.8846726190476191
requests,1,random,46,CONTINUE,False,False,True,False,1039,1,0.10738255033557047,0.2916666666666667,0.8846726190476191
requests,1,random,47,CONTINUE,False,False,True,False,696,38,0.23154362416107382,0.2916666666666667,0.8846726190476191
requests,1,random,48,CONTINUE,False,False,True,False,696,4,0.1174496644295302,0.2916666666666667,0.8846726190476191
requests,1,random,49,ABSTAIN,False,False,False,True,696,0,0.1040268456375839,0.25,0.8891369047619047
requests,1,random,50,CONTINUE,False,False,True,False,831,9,0.1342281879194631,0.2916666666666667,0.8846726190476191
requests,1,random,51,ABSTAIN,False,False,False,True,314,0,0.1040268456375839,0.25,0.8869047619047619
requests,1,random,52,CONTINUE,False,False,True,False,1086,8,0.13087248322147652,0.2916666666666667,0.8846726190476191
requests,1,random,53,CONTINUE,False,False,True,False,831,9,0.1342281879194631,0.2916666666666667,0.8846726190476191
requests,1,random,54,ABSTAIN,False,False,False,True,157,0,0.1040268456375839,0.2916666666666667,0.8846726190476191
requests,1,random,55,CONTINUE,False,False,True,False,1086,8,0.13087248322147652,0.2916666666666667,0.8846726190476191
requests,1,random,56,ABSTAIN,False,False,False,True,314,0,0.1040268456375839,0.2916666666666667,0.8846726190476191
requests,1,random,57,ABSTAIN,False,False,False,True,696,0,0.1040268456375839,0.25,0.8891369047619047
requests,1,random,58,CONTINUE,False,False,True,False,1039,1,0.10738255033557047,0.2916666666666667,0.8846726190476191
requests,1,random,59,CONTINUE,False,False,True,False,831,9,0.1342281879194631,0.2916666666666667,0.8846726190476191
requests,1,random,60,CONTINUE,False,False,True,False,157,3,0.11409395973154363,0.2916666666666667,0.8846726190476191
requests,1,random,61,CONTINUE,False,False,True,False,314,2,0.11073825503355705,0.2916666666666667,0.8846726190476191
requests,1,random,62,CONTINUE,False,False,True,False,314,2,0.11073825503355705,0.2916666666666667,0.8846726190476191
requests,1,random,63,CONTINUE,False,False,True,False,314,2,0.11073825503355705,0.2916666666666667,0.8846726190476191
requests,1,random,64,CONTINUE,False,False,True,False,1039,1,0.10738255033557047,0.2916666666666667,0.8846726190476191
requests,1,random,65,CONTINUE,False,False,True,False,157,3,0.11409395973154363,0.2916666666666667,0.8846726190476191
requests,1,random,66,CONTINUE,False,False,True,False,1086,30,0.20469798657718122,0.2916666666666667,0.8846726190476191
requests,1,random,67,CONTINUE,False,False,True,False,831,9,0.1342281879194631,0.2916666666666667,0.8846726190476191
requests,1,random,68,CONTINUE,False,False,True,False,314,5,0.12080536912751678,0.2916666666666667,0.8846726190476191
requests,1,random,69,ABSTAIN,False,False,False,True,696,0,0.1040268456375839,0.25,0.8891369047619047
requests,1,random,70,CONTINUE,False,False,True,False,1039,20,0.17114093959731544,0.2916666666666667,0.8846726190476191
requests,1,random,71,CONTINUE,False,False,True,False,1086,30,0.20469798657718122,0.2916666666666667,0.8846726190476191
requests,1,random,72,CONTINUE,False,False,True,False,1086,30,0.20469798657718122,0.2916666666666667,0.8846726190476191
requests,1,random,73,CONTINUE,False,False,True,False,831,7,0.12751677852348994,0.2916666666666667,0.8846726190476191
requests,1,random,74,CONTINUE,False,False,True,False,157,3,0.11409395973154363,0.2916666666666667,0.8846726190476191
requests,1,random,75,CONTINUE,False,False,True,False,1039,20,0.17114093959731544,0.2916666666666667,0.8846726190476191
requests,1,random,76,ABSTAIN,False,False,False,True,1039,0,0.1040268456375839,0.25,0.8869047619047619
requests,1,random,77,ABSTAIN,False,False,False,True,696,0,0.1040268456375839,0.25,0.8891369047619047
requests,1,random,78,ABSTAIN,False,False,False,True,831,0,0.1040268456375839,0.25,0.888392857142857
requests,1,random,79,CONTINUE,False,False,True,False,696,38,0.23154362416107382,0.2916666666666667,0.8846726190476191
requests,1,random,80,ABSTAIN,False,False,False,True,1086,0,0.1040268456375839,0.25,0.8869047619047619
requests,1,random,81,ABSTAIN,False,False,False,True,696,0,0.1040268456375839,0.25,0.8891369047619047
requests,1,random,82,ABSTAIN,False,False,False,True,831,0,0.1040268456375839,0.25,0.888392857142857
requests,1,random,83,ABSTAIN,False,False,False,True,831,0,0.1040268456375839,0.25,0.888392857142857
requests,1,random,84,CONTINUE,False,False,True,False,1039,20,0.17114093959731544,0.2916666666666667,0.8846726190476191
requests,1,random,85,ABSTAIN,False,False,False,True,831,0,0.1040268456375839,0.25,0.888392857142857
requests,1,random,86,CONTINUE,False,False,True,False,1086,30,0.20469798657718122,0.2916666666666667,0.8846726190476191
requests,1,random,87,CONTINUE,False,False,True,False,1039,42,0.24496644295302014,0.2916666666666667,0.8846726190476191
requests,1,random,88,CONTINUE,False,False,True,False,1039,1,0.10738255033557047,0.2916666666666667,0.8846726190476191
requests,1,random,89,CONTINUE,False,False,True,False,1086,1,0.10738255033557047,0.2916666666666667,0.8846726190476191
requests,1,random,90,CONTINUE,False,False,True,False,1039,20,0.17114093959731544,0.2916666666666667,0.8846726190476191
requests,1,random,91,ABSTAIN,False,False,False,True,831,0,0.1040268456375839,0.25,0.888392857142857
requests,1,random,92,CONTINUE,False,False,True,False,314,2,0.11073825503355705,0.2916666666666667,0.8846726190476191
requests,1,random,93,CONTINUE,False,False,True,False,1086,30,0.20469798657718122,0.2916666666666667,0.8846726190476191
requests,1,random,94,ABSTAIN,False,False,False,True,696,0,0.1040268456375839,0.25,0.8891369047619047
requests,1,random,95,CONTINUE,False,False,True,False,314,2,0.11073825503355705,0.2916666666666667,0.8846726190476191
requests,1,random,96,CONTINUE,False,False,True,False,831,7,0.12751677852348994,0.2916666666666667,0.8846726190476191
requests,1,random,97,CONTINUE,False,False,True,False,696,4,0.1174496644295302,0.2916666666666667,0.8846726190476191
requests,1,random,98,ABSTAIN,False,False,False,True,314,0,0.1040268456375839,0.2916666666666667,0.8846726190476191
requests,1,random,99,CONTINUE,False,False,True,False,1086,30,0.20469798657718122,0.2916666666666667,0.8846726190476191
requests,1,random,100,CONTINUE,False,False,True,False,831,9,0.1342281879194631,0.2916666666666667,0.8846726190476191
requests,1,random,101,ABSTAIN,False,False,False,True,157,0,0.1040268456375839,0.2916666666666667,0.8846726190476191
requests,1,random,102,CONTINUE,False,False,True,False,314,2,0.11073825503355705,0.2916666666666667,0.8846726190476191
requests,1,random,103,ABSTAIN,False,False,False,True,1039,0,0.1040268456375839,0.25,0.8869047619047619
requests,1,random,104,CONTINUE,False,False,True,False,831,33,0.21476510067114093,0.2916666666666667,0.8846726190476191
requests,1,random,105,ABSTAIN,False,False,False,True,157,0,0.1040268456375839,0.2916666666666667,0.8846726190476191
requests,1,random,106,ABSTAIN,False,False,False,True,1039,0,0.1040268456375839,0.25,0.8869047619047619
requests,1,random,107,CONTINUE,False,False,True,False,696,38,0.23154362416107382,0.2916666666666667,0.8846726190476191
requests,1,random,108,CONTINUE,False,False,True,False,696,64,0.3187919463087248,0.2916666666666667,0.8846726190476191
requests,1,random,109,ABSTAIN,False,False,False,True,1039,0,0.1040268456375839,0.25,0.8869047619047619
requests,1,random,110,CONTINUE,False,False,True,False,1039,42,0.24496644295302014,0.2916666666666667,0.8846726190476191
requests,1,random,111,CONTINUE,False,False,True,False,314,5,0.12080536912751678,0.2916666666666667,0.8846726190476191
requests,1,random,112,CONTINUE,False,False,True,False,157,3,0.11409395973154363,0.2916666666666667,0.8846726190476191
requests,1,random,113,ABSTAIN,False,False,False,True,157,0,0.1040268456375839,0.2916666666666667,0.8846726190476191
requests,1,random,114,CONTINUE,False,False,True,False,696,4,0.1174496644295302,0.2916666666666667,0.8846726190476191
requests,1,random,115,CONTINUE,False,False,True,False,1039,20,0.17114093959731544,0.2916666666666667,0.8846726190476191
requests,1,random,116,ABSTAIN,False,False,False,True,157,0,0.1040268456375839,0.25,0.8876488095238095
requests,1,random,117,CONTINUE,False,False,True,False,696,4,0.1174496644295302,0.2916666666666667,0.8846726190476191
requests,1,random,118,ABSTAIN,False,False,False,True,314,0,0.1040268456375839,0.25,0.8869047619047619
requests,1,random,119,CONTINUE,False,False,True,False,314,2,0.11073825503355705,0.2916666666666667,0.8846726190476191
requests,1,random,120,ABSTAIN,False,False,False,True,157,0,0.1040268456375839,0.2916666666666667,0.8846726190476191
requests,1,random,121,ABSTAIN,False,False,False,True,157,0,0.1040268456375839,0.2916666666666667,0.8846726190476191
requests,1,random,122,CONTINUE,False,False,True,False,1086,1,0.10738255033557047,0.2916666666666667,0.8846726190476191
requests,1,random,123,CONTINUE,False,False,True,False,696,64,0.3187919463087248,0.2916666666666667,0.8846726190476191
requests,1,random,124,ABSTAIN,False,False,False,True,1086,0,0.1040268456375839,0.25,0.8869047619047619
requests,1,random,125,CONTINUE,False,False,True,False,314,2,0.11073825503355705,0.2916666666666667,0.8846726190476191
requests,1,random,126,ABSTAIN,False,False,False,True,157,0,0.1040268456375839,0.2916666666666667,0.8846726190476191
requests,1,random,127,CONTINUE,False,False,True,False,1039,1,0.10738255033557047,0.2916666666666667,0.8846726190476191
requests,1,random,128,ABSTAIN,False,False,False,True,831,0,0.1040268456375839,0.25,0.888392857142857
requests,1,random,129,ABSTAIN,False,False,False,True,1039,0,0.1040268456375839,0.25,0.8869047619047619
requests,1,random,130,ABSTAIN,False,False,False,True,831,0,0.1040268456375839,0.25,0.888392857142857
requests,1,random,131,CONTINUE,False,False,True,False,314,5,0.12080536912751678,0.2916666666666667,0.8846726190476191
requests,1,random,132,CONTINUE,False,False,True,False,1086,1,0.10738255033557047,0.2916666666666667,0.8846726190476191
requests,1,random,133,CONTINUE,False,False,True,False,1039,1,0.10738255033557047,0.2916666666666667,0.8846726190476191
requests,1,random,134,CONTINUE,False,False,True,False,831,9,0.1342281879194631,0.2916666666666667,0.8846726190476191
requests,1,random,135,CONTINUE,False,False,True,False,314,5,0.12080536912751678,0.2916666666666667,0.8846726190476191
requests,1,random,136,CONTINUE,False,False,True,False,1086,8,0.13087248322147652,0.2916666666666667,0.8846726190476191
requests,1,random,137,CONTINUE,False,False,True,False,314,5,0.12080536912751678,0.2916666666666667,0.8846726190476191
requests,1,random,138,CONTINUE,False,False,True,False,1039,20,0.17114093959731544,0.2916666666666667,0.8846726190476191
requests,1,random,139,CONTINUE,False,False,True,False,314,2,0.11073825503355705,0.2916666666666667,0.8846726190476191
