table,task,policy,state_type,seed,budget,fcr,safe_coverage,safe_rate,continue_rate,abstain_rate,repair_gain,repair_cost,mean_cumulative_recall
threshold_sweep,requests,residual_potential,seeded_unsafe_repair,mixed,fixed,0.0,,0.0,1.0,0.0,177.0,3262.0,0.697986577181208
threshold_sweep,urllib3,free_search_continuation,seeded_unsafe_repair,mixed,fixed,0.0,,0.0,1.0,0.0,171.41,4708.88,0.4383547925608012
threshold_sweep,urllib3,high_potential,seeded_unsafe_repair,mixed,fixed,0.0,,0.0,1.0,0.0,275.0,4386.0,0.586552217453505
threshold_sweep,urllib3,low_exposure,seeded_unsafe_repair,mixed,fixed,0.0,,0.0,1.0,0.0,157.0,5550.0,0.4177396280400573
threshold_sweep,urllib3,random,seeded_unsafe_repair,mixed,fixed,0.0,,0.0,0.99,0.01,92.525,4225.245,0.32550071530758223
threshold_sweep,urllib3,residual_potential,seeded_unsafe_repair,mixed,fixed,0.0,,0.0,1.0,0.0,329.0,5289.0,0.6638054363376252
threshold_sweep,urllib3,free_search_continuation,seeded_unsafe_repair,mixed,fixed,0.0,,0.0,1.0,0.0,171.41,4708.88,0.4383547925608012
threshold_sweep,urllib3,high_potential,seeded_unsafe_repair,mixed,fixed,0.0,,0.0,1.0,0.0,275.0,4386.0,0.586552217453505
threshold_sweep,urllib3,low_exposure,seeded_unsafe_repair,mixed,fixed,0.0,,0.0,1.0,0.0,157.0,5550.0,0.4177396280400573
threshold_sweep,urllib3,random,seeded_unsafe_repair,mixed,fixed,0.0,,0.0,0.99,0.01,92.525,4225.245,0.32550071530758223
