task,condition,state_type,seed,budget,challenger,full_decision,recall,support,gini,repair_gain,repair_cost,residual_warning,unresolved_warning,oracle_safe,geometry_ok
requests,repair:random,seeded_unsafe_repair,28,4,random,CONTINUE,0.1543624161073825,0.375,0.875,15.0,2770.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,29,4,random,CONTINUE,0.2718120805369127,0.375,0.875,50.0,2672.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,30,4,random,CONTINUE,0.3422818791946309,0.3333333333333333,0.8786231884057971,71.0,2672.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,31,4,random,CONTINUE,0.4026845637583892,0.4166666666666667,0.8692028985507245,89.0,3470.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,32,4,random,CONTINUE,0.2416107382550335,0.375,0.873550724637681,41.0,1324.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,33,4,random,CONTINUE,0.1375838926174496,0.375,0.8742753623188404,10.0,2231.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,34,4,random,CONTINUE,0.4765100671140939,0.4166666666666667,0.8692028985507245,111.0,2672.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,35,4,random,CONTINUE,0.1476510067114094,0.375,0.875,13.0,2388.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,36,4,random,CONTINUE,0.3255033557046979,0.3333333333333333,0.8793478260869565,66.0,2020.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,37,4,random,CONTINUE,0.2818791946308724,0.375,0.873550724637681,53.0,3699.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,38,4,random,CONTINUE,0.1476510067114094,0.375,0.873550724637681,13.0,3907.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,39,4,random,CONTINUE,0.3221476510067114,0.4166666666666667,0.8692028985507245,65.0,2206.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,40,4,random,CONTINUE,0.3859060402684564,0.375,0.8757246376811594,84.0,3397.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,41,4,random,CONTINUE,0.1140939597315436,0.375,0.8742753623188404,3.0,1667.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,42,4,random,CONTINUE,0.3624161073825503,0.4166666666666667,0.8692028985507245,77.0,3564.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,43,4,random,CONTINUE,0.2147651006711409,0.3333333333333333,0.8793478260869565,33.0,2253.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,44,4,random,CONTINUE,0.3154362416107382,0.3333333333333333,0.8786231884057971,63.0,3787.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,45,4,random,CONTINUE,0.2986577181208054,0.375,0.873550724637681,58.0,3088.0,True,False,False,False
