task,condition,state_type,seed,budget,decision,recall,support,gini,residual_warning,unresolved_warning,runtime_residual_items,weak_plausible_gap,repair_gain,cost
requests,repair:random,seeded_unsafe_repair,44,4,CONTINUE,0.3154362416107382,0.3333333333333333,0.8786231884057971,True,False,63.0,13.0,63.0,3787.0
requests,repair:random,seeded_unsafe_repair,45,4,CONTINUE,0.2986577181208054,0.375,0.873550724637681,True,False,58.0,13.0,58.0,3088.0
requests,repair:random,seeded_unsafe_repair,46,4,CONTINUE,0.2651006711409396,0.375,0.8757246376811594,True,False,48.0,12.0,48.0,3262.0
requests,repair:random,seeded_unsafe_repair,47,4,CONTINUE,0.2483221476510067,0.3333333333333333,0.8786231884057971,True,False,43.0,13.0,43.0,2880.0
requests,repair:random,seeded_unsafe_repair,48,4,CONTINUE,0.2214765100671141,0.375,0.875,True,False,35.0,12.0,35.0,2388.0
requests,repair:random,seeded_unsafe_repair,49,4,CONTINUE,0.261744966442953,0.375,0.873550724637681,True,False,47.0,12.0,47.0,2745.0
requests,repair:random,seeded_unsafe_repair,50,4,CONTINUE,0.1912751677852349,0.4166666666666667,0.8692028985507245,True,False,26.0,12.0,26.0,2753.0
requests,repair:random,seeded_unsafe_repair,51,4,CONTINUE,0.2147651006711409,0.3333333333333333,0.8793478260869565,True,False,33.0,14.0,33.0,1976.0
requests,repair:random,seeded_unsafe_repair,52,4,CONTINUE,0.2416107382550335,0.375,0.8757246376811594,True,False,41.0,13.0,41.0,2927.0
requests,repair:random,seeded_unsafe_repair,53,4,CONTINUE,0.3791946308724832,0.4166666666666667,0.8692028985507245,True,False,82.0,12.0,82.0,2858.0
requests,repair:random,seeded_unsafe_repair,54,4,CONTINUE,0.2550335570469799,0.3333333333333333,0.8786231884057971,True,False,45.0,13.0,45.0,2341.0
requests,repair:random,seeded_unsafe_repair,55,4,CONTINUE,0.2684563758389262,0.4166666666666667,0.8692028985507245,True,False,49.0,12.0,49.0,2096.0
requests,repair:random,seeded_unsafe_repair,56,4,CONTINUE,0.3892617449664429,0.375,0.875,True,False,85.0,12.0,85.0,3652.0
requests,repair:random,seeded_unsafe_repair,57,4,CONTINUE,0.174496644295302,0.375,0.8757246376811594,True,False,21.0,12.0,21.0,2672.0
requests,repair:random,seeded_unsafe_repair,58,4,CONTINUE,0.1644295302013423,0.4166666666666667,0.8692028985507245,True,False,18.0,12.0,18.0,3160.0
requests,repair:random,seeded_unsafe_repair,59,4,CONTINUE,0.3758389261744966,0.4166666666666667,0.8692028985507245,True,False,81.0,12.0,81.0,2978.0
requests,repair:random,seeded_unsafe_repair,60,4,CONTINUE,0.1442953020134228,0.375,0.873550724637681,True,False,12.0,13.0,12.0,1616.0
requests,repair:random,seeded_unsafe_repair,61,4,CONTINUE,0.1711409395973154,0.3333333333333333,0.8793478260869565,True,False,20.0,14.0,20.0,2184.0
requests,repair:random,seeded_unsafe_repair,62,4,CONTINUE,0.261744966442953,0.375,0.8742753623188404,True,False,47.0,13.0,47.0,1841.0
requests,repair:random,seeded_unsafe_repair,63,4,CONTINUE,0.3120805369127516,0.375,0.873550724637681,True,False,62.0,13.0,62.0,2706.0
requests,repair:random,seeded_unsafe_repair,64,4,CONTINUE,0.2114093959731543,0.4166666666666667,0.8692028985507245,True,False,32.0,11.0,32.0,3652.0
requests,repair:random,seeded_unsafe_repair,65,4,CONTINUE,0.2147651006711409,0.3333333333333333,0.8764492753623188,True,False,33.0,14.0,33.0,2341.0
requests,repair:random,seeded_unsafe_repair,66,4,CONTINUE,0.2315436241610738,0.3333333333333333,0.8764492753623188,True,False,38.0,14.0,38.0,2206.0
