seed,condition,dependency,n_strata,items_per_stratum,hard_fraction,stopped_round,no_new_rounds,recall,false_completion,exposure_gini,exposure_entropy,exposure_hhi,exposure_max_mass,discovery_gini,discovery_entropy,discovery_hhi,discovery_max_mass,exposure_coverage_ratio,discovery_coverage_ratio,discovery_per_exposure,effective_rank_exposure,effective_rank_discovery,scout_strategy,scout_new_items,scout_cost,scout_novelty_per_cost
30000,homogeneous,0.0,18,8,0.25,14,1,0.8402777777777778,True,0.26223544973544977,2.71287276313008,0.06923185941043085,0.08630952380952381,0.2457689477557028,2.723141663947992,0.06828647866321653,0.07947019867549669,0.9444444444444444,0.9444444444444444,0.8988095238095238,0.722883892134198,0.667791600163712,none,0,0,
30001,homogeneous,0.0,18,8,0.25,14,0,0.8263888888888888,True,0.2840608465608465,2.6821779560930823,0.07119827097505668,0.09523809523809523,0.24261129816685378,2.6999486683509772,0.06902923737940574,0.08080808080808081,0.8888888888888888,0.8888888888888888,0.8839285714285714,0.7158701974894939,0.6248585086043897,none,0,0,
30002,homogeneous,0.0,18,8,0.25,14,0,0.8333333333333334,True,0.29960317460317465,2.692581273333434,0.0717297335600907,0.10119047619047619,0.24459876543209869,2.720729051601758,0.06845582561728396,0.08333333333333333,0.9444444444444444,0.9444444444444444,0.8571428571428571,0.7605972044596624,0.6642990657155924,none,0,0,
30003,homogeneous,0.0,18,8,0.25,14,0,0.8333333333333334,True,0.2843915343915344,2.6980937326200034,0.07112740929705216,0.11011904761904762,0.24346978557504872,2.7222367039346302,0.06834102800861803,0.08421052631578947,0.9444444444444444,0.9444444444444444,0.8482142857142857,0.8139773971525132,0.6865998082355477,none,0,0,
30004,homogeneous,0.0,18,8,0.25,14,1,0.8194444444444444,True,0.29861111111111116,2.686984096958147,0.07201318027210886,0.10416666666666667,0.26109215017064846,2.707876083001416,0.06964554042563105,0.08191126279863481,0.9444444444444444,0.9444444444444444,0.8720238095238095,0.721922130173977,0.6036284203184862,none,0,0,
30005,homogeneous,0.0,18,8,0.25,14,1,0.8402777777777778,True,0.27414021164021163,2.7104930578042574,0.07020620748299321,0.09226190476190477,0.24303293521534552,2.72587955776475,0.0684463495633906,0.0781758957654723,1.0,1.0,0.9136904761904762,0.6545269332612997,0.6250574948074008,none,0,0,
30006,homogeneous,0.0,18,8,0.25,14,0,0.8402777777777778,True,0.2701719576719577,2.7157621539989143,0.06963931405895693,0.09226190476190477,0.22860360360360366,2.734873545219291,0.06761322132943753,0.08108108108108109,1.0,1.0,0.8809523809523809,0.7497268117523119,0.6382047453250089,none,0,0,
30007,homogeneous,0.0,18,8,0.25,14,2,0.8125,True,0.2827380952380951,2.677685012808494,0.07160572562358278,0.09821428571428571,0.2513935340022295,2.692000661081947,0.06992091811053566,0.0802675585284281,0.9444444444444444,0.9444444444444444,0.8898809523809523,0.727359694385003,0.6143612743282824,none,0,0,
30008,homogeneous,0.0,18,8,0.25,14,0,0.8125,True,0.2761243386243386,2.6861941261106335,0.07087939342403628,0.08928571428571429,0.2623873873873874,2.6956671790581006,0.0700100438276114,0.08108108108108109,0.9444444444444444,0.9444444444444444,0.8809523809523809,0.7247180318196166,0.6052223184137691,none,0,0,
30009,homogeneous,0.0,18,8,0.25,14,0,0.8263888888888888,True,0.28075396825396814,2.6934000740879256,0.07087939342403626,0.08928571428571429,0.24247491638795982,2.710443982106585,0.06900370241943603,0.0802675585284281,1.0,1.0,0.8898809523809523,0.6966540363277943,0.5952260585610166,none,0,0,
