source_coverage_ratio,coverage_entropy,coverage_hhi,coverage_gini,visit_entropy,visit_hhi,source_normalized_effective_rank,seed,condition,dependency,n_strata,items_per_stratum,hard_fraction,stopped_round,total_items,found_items,recall,false_completion,coverage_risk_lambda,scout_strategy,scout_new_items,scout_cost,scout_novelty_per_cost
1.0,2.7468836883219105,0.0672051581818826,0.23501336387934324,2.7194516576667436,0.07025935374149658,0.6851504757858664,10000,homogeneous,0.0,18,8,0.25,14,144,124,0.8611111111111112,True,0.0,none,0,0,
1.0,2.7375804461522586,0.0678,0.24185185185185176,2.72041705801568,0.06953302154195014,0.6439112550272483,10001,homogeneous,0.0,18,8,0.25,14,144,122,0.8472222222222222,True,0.0,none,0,0,
1.0,2.761086096016366,0.0665900603274921,0.2325800376647833,2.7391677329326796,0.0687889739229025,0.6436430182789576,10002,homogeneous,0.0,18,8,0.25,14,144,126,0.875,True,0.0,none,0,0,
0.8888888888888888,2.7142020642372557,0.06822071341483876,0.2435897435897436,2.70336412845778,0.06935586734693877,0.6347911254020931,10003,homogeneous,0.0,18,8,0.25,14,144,121,0.8402777777777778,True,0.02706552706552708,none,0,0,
1.0,2.7460295248351083,0.06758610642353312,0.24603174603174605,2.730651981184845,0.06887755102040816,0.6869341534625732,10004,homogeneous,0.0,18,8,0.25,14,144,121,0.8402777777777778,True,0.0,none,0,0,
1.0,2.7195806327094507,0.06860567356194179,0.2407407407407407,2.701584916046405,0.07050736961451247,0.6682683886121366,10005,homogeneous,0.0,18,8,0.25,14,144,119,0.8263888888888888,True,0.0,none,0,0,
1.0,2.733758591668486,0.06753788589529917,0.23606496862310822,2.7221236825959108,0.06866496598639456,0.6230784796491208,10006,homogeneous,0.0,18,8,0.25,14,144,122,0.8472222222222222,True,0.0,none,0,0,
1.0,2.753749440373752,0.06694555989306608,0.2339279078409513,2.7349967087027767,0.06882440476190475,0.6446686719234028,10007,homogeneous,0.0,18,8,0.25,14,144,120,0.8333333333333334,True,0.0,none,0,0,
0.9444444444444444,2.702020094397312,0.06963009362311384,0.2565960609438871,2.6823157618698366,0.07204861111111112,0.6136138012656477,10008,homogeneous,0.0,18,8,0.25,14,144,118,0.8194444444444444,True,0.014255336719104846,none,0,0,
0.9444444444444444,2.7125424610890247,0.06917208665460414,0.25679875679875686,2.6888059198358683,0.07174744897959184,0.629096583795525,10009,homogeneous,0.0,18,8,0.25,14,144,119,0.8263888888888888,True,0.014266597599930942,none,0,0,
