seed,condition,mean_confidence,mean_jaccard,singleton_ratio,consensus_recall,union_recall,union_precision,input_tokens,output_tokens,wall_clock_seconds,tool_calls,source
seed04,homogeneous,0.7633333333333333,0.8137118737844288,0.11974110032362459,0.6842105263157895,0.7203947368421053,0.7087378640776699,198444,13646,135.93939660006436,0,online_blind_validation_seed04
seed04,independent_context,0.7733333333333333,0.2820886375764424,0.20521172638436483,0.6282894736842105,0.7368421052631579,0.7296416938110749,133132,10362,93.78159039997263,0,online_audit_controller_discovery
seed04,prompt_diverse,0.7600000000000001,0.7773311546840959,0.1346153846153846,0.6875,0.7368421052631579,0.717948717948718,198463,14211,121.18036370002665,0,online_blind_validation_seed04
seed04,source_partitioned,0.8466666666666667,0.0,1.0,0.0,0.7138157894736842,0.7185430463576159,67751,6110,59.86261080001714,0,online_blind_validation_seed04
seed05,homogeneous,0.8033333333333333,0.8262646718166308,0.14779874213836477,0.6743421052631579,0.7335526315789473,0.7012578616352201,198471,14007,137.97127769998042,0,online_audit_controller_discovery
seed05,independent_context,0.7066666666666667,0.2803507675781143,0.21895424836601307,0.6151315789473685,0.7335526315789473,0.7287581699346405,133132,9654,92.51725629990688,0,online_audit_controller_discovery
seed05,prompt_diverse,0.7733333333333333,0.7645289001697418,0.17491749174917492,0.6447368421052632,0.7302631578947368,0.7326732673267327,198473,13587,139.28362989996094,0,online_audit_controller_discovery
seed05,source_partitioned,0.84,0.0,1.0,0.0,0.7236842105263158,0.7357859531772575,67742,6056,56.26649409998208,0,online_audit_controller_discovery
seed06,homogeneous,0.7666666666666666,0.7980877001479795,0.15772870662460567,0.6710526315789473,0.7401315789473685,0.7097791798107256,198471,13702,132.11308320000535,0,online_audit_controller_discovery
seed06,independent_context,0.6933333333333334,0.2847746483417215,0.2057877813504823,0.6348684210526315,0.7532894736842105,0.7363344051446945,133132,10512,94.11525840003742,0,online_audit_controller_discovery
seed06,prompt_diverse,0.79,0.7696099004967237,0.18098159509202455,0.6611842105263158,0.7302631578947368,0.6809815950920245,198473,15378,146.12949849991128,0,online_audit_controller_discovery
seed06,source_partitioned,0.85,0.0,1.0,0.0,0.7368421052631579,0.7320261437908496,67742,6193,54.32810409995727,0,online_audit_controller_discovery
seed07,homogeneous,0.7766666666666667,0.8314712019163406,0.13225806451612904,0.6776315789473685,0.7335526315789473,0.7193548387096774,198471,15399,398.7524881999707,0,online_audit_controller_discovery
seed07,independent_context,0.7933333333333333,0.2891432108446739,0.18791946308724833,0.631578947368421,0.7203947368421053,0.7348993288590604,133132,9587,178.09118100005435,0,online_audit_controller_discovery
seed07,prompt_diverse,0.7833333333333333,0.7970896026875197,0.16387959866220736,0.6381578947368421,0.7072368421052632,0.7190635451505016,198473,14419,138.27081229997566,0,online_audit_controller_discovery
seed07,source_partitioned,0.8666666666666667,0.0,1.0,0.0,0.7105263157894737,0.7714285714285715,67742,5681,72.3153358999989,0,online_audit_controller_discovery
seed08,homogeneous,0.8233333333333333,0.7918158224449615,0.14376996805111822,0.680921052631579,0.7335526315789473,0.7124600638977636,198471,14304,130.38982979999855,0,online_audit_controller_discovery
seed08,independent_context,0.6933333333333334,0.28674382728134123,0.19407894736842105,0.6217105263157895,0.7171052631578947,0.7171052631578947,133132,10361,89.53589329996612,0,online_audit_controller_discovery
seed08,prompt_diverse,0.7533333333333333,0.7832438909929053,0.1337579617834395,0.6776315789473685,0.7171052631578947,0.6942675159235668,198473,13543,139.965713600046,0,online_audit_controller_discovery
seed08,source_partitioned,0.8033333333333333,0.0,1.0,0.0,0.7335526315789473,0.7263843648208469,67742,5689,68.420952400018,0,online_audit_controller_discovery
