task,budget,challenger,seed,decision,false_certification,safe,continue,abstain,cost,runtime_residual_items,repair_gain,cumulative_recall,after_support_ratio,after_exposure_gini,after_weak_plausible_gap
requests,1,random,53,CONTINUE,False,False,True,False,831,9,9,0.1342281879194631,0.2916666666666667,0.8846726190476191,14
requests,1,random,54,ABSTAIN,False,False,False,True,157,0,0,0.1040268456375839,0.2916666666666667,0.8846726190476191,15
requests,1,random,55,CONTINUE,False,False,True,False,1086,8,8,0.1308724832214765,0.2916666666666667,0.8846726190476191,14
requests,1,random,56,ABSTAIN,False,False,False,True,314,0,0,0.1040268456375839,0.2916666666666667,0.8846726190476191,15
requests,1,random,57,ABSTAIN,False,False,False,True,696,0,0,0.1040268456375839,0.25,0.8891369047619047,15
requests,1,random,58,CONTINUE,False,False,True,False,1039,1,1,0.1073825503355704,0.2916666666666667,0.8846726190476191,14
requests,1,random,59,CONTINUE,False,False,True,False,831,9,9,0.1342281879194631,0.2916666666666667,0.8846726190476191,14
requests,1,random,60,CONTINUE,False,False,True,False,157,3,3,0.1140939597315436,0.2916666666666667,0.8846726190476191,14
requests,1,random,61,CONTINUE,False,False,True,False,314,2,2,0.110738255033557,0.2916666666666667,0.8846726190476191,14
requests,1,random,62,CONTINUE,False,False,True,False,314,2,2,0.110738255033557,0.2916666666666667,0.8846726190476191,14
requests,1,random,63,CONTINUE,False,False,True,False,314,2,2,0.110738255033557,0.2916666666666667,0.8846726190476191,14
requests,1,random,64,CONTINUE,False,False,True,False,1039,1,1,0.1073825503355704,0.2916666666666667,0.8846726190476191,14
requests,1,random,65,CONTINUE,False,False,True,False,157,3,3,0.1140939597315436,0.2916666666666667,0.8846726190476191,14
requests,1,random,66,CONTINUE,False,False,True,False,1086,30,30,0.2046979865771812,0.2916666666666667,0.8846726190476191,14
requests,1,random,67,CONTINUE,False,False,True,False,831,9,9,0.1342281879194631,0.2916666666666667,0.8846726190476191,14
requests,1,random,68,CONTINUE,False,False,True,False,314,5,5,0.1208053691275167,0.2916666666666667,0.8846726190476191,14
requests,1,random,69,ABSTAIN,False,False,False,True,696,0,0,0.1040268456375839,0.25,0.8891369047619047,15
requests,1,random,70,CONTINUE,False,False,True,False,1039,20,20,0.1711409395973154,0.2916666666666667,0.8846726190476191,14
requests,1,random,71,CONTINUE,False,False,True,False,1086,30,30,0.2046979865771812,0.2916666666666667,0.8846726190476191,14
requests,1,random,72,CONTINUE,False,False,True,False,1086,30,30,0.2046979865771812,0.2916666666666667,0.8846726190476191,14
requests,1,random,73,CONTINUE,False,False,True,False,831,7,7,0.1275167785234899,0.2916666666666667,0.8846726190476191,14
requests,1,random,74,CONTINUE,False,False,True,False,157,3,3,0.1140939597315436,0.2916666666666667,0.8846726190476191,14
requests,1,random,75,CONTINUE,False,False,True,False,1039,20,20,0.1711409395973154,0.2916666666666667,0.8846726190476191,14
requests,1,random,76,ABSTAIN,False,False,False,True,1039,0,0,0.1040268456375839,0.25,0.8869047619047619,15
requests,1,random,77,ABSTAIN,False,False,False,True,696,0,0,0.1040268456375839,0.25,0.8891369047619047,15
requests,1,random,78,ABSTAIN,False,False,False,True,831,0,0,0.1040268456375839,0.25,0.888392857142857,15
requests,1,random,79,CONTINUE,False,False,True,False,696,38,38,0.2315436241610738,0.2916666666666667,0.8846726190476191,14
requests,1,random,80,ABSTAIN,False,False,False,True,1086,0,0,0.1040268456375839,0.25,0.8869047619047619,15
requests,1,random,81,ABSTAIN,False,False,False,True,696,0,0,0.1040268456375839,0.25,0.8891369047619047,15
requests,1,random,82,ABSTAIN,False,False,False,True,831,0,0,0.1040268456375839,0.25,0.888392857142857,15
requests,1,random,83,ABSTAIN,False,False,False,True,831,0,0,0.1040268456375839,0.25,0.888392857142857,15
requests,1,random,84,CONTINUE,False,False,True,False,1039,20,20,0.1711409395973154,0.2916666666666667,0.8846726190476191,14
requests,1,random,85,ABSTAIN,False,False,False,True,831,0,0,0.1040268456375839,0.25,0.888392857142857,15
requests,1,random,86,CONTINUE,False,False,True,False,1086,30,30,0.2046979865771812,0.2916666666666667,0.8846726190476191,14
requests,1,random,87,CONTINUE,False,False,True,False,1039,42,42,0.2449664429530201,0.2916666666666667,0.8846726190476191,14
