task,task_id,trajectory_id,stop_state_id,inventory_id,condition,state_type,n_events,n_agents,support_size,support,gini,weak_plausible_gap,runtime_residual_items,residual_warning,unresolved_warning,runtime_discovered_items
requests,T_external_requests_repo_v1,T_external_requests_repo_v1_homogeneous,requests:homogeneous:fixed_stop,requests_pattern_inventory_v1,homogeneous,fixed_stop_state,114,3,6,0.25,0.8885135135135134,15,0,False,True,31
requests,T_external_requests_repo_v1,T_external_requests_repo_v1_route_partitioned,requests:route_partitioned:fixed_stop,requests_pattern_inventory_v1,route_partitioned,fixed_stop_state,326,4,24,1.0,0.6074016563146998,0,0,False,False,298
