task_id,run_id,condition,agent_id,n_events,n_exposure_strata,n_discovery_strata,exposure_gini,discovery_gini,exposure_entropy,discovery_entropy,exposure_ratio,discovery_ratio,discovery_per_exposure
T_doc_dynamic_workflow_smoke,T_doc_smoke_A1,route_partitioned_smoke,A1,11,1,1,0.0,0.0,-1.000088900581841e-12,-1.000088900581841e-12,1.0,1.0,0.8181818181818182
T_doc_dynamic_workflow_smoke,T_doc_smoke_A2,route_partitioned_smoke,A2,16,1,1,0.0,0.0,-1.000088900581841e-12,-1.000088900581841e-12,1.0,1.0,0.875
T_doc_dynamic_workflow_smoke,T_doc_smoke_A3,route_partitioned_smoke,A3,12,1,1,0.0,0.0,-1.000088900581841e-12,-1.000088900581841e-12,1.0,1.0,0.9166666666666666
