task_dir,task_id,exposure_gini_homogeneous,exposure_gini_route_partitioned,recall_homogeneous,recall_route_partitioned,source_route_coverage_ratio_homogeneous,source_route_coverage_ratio_route_partitioned,delta_exposure_gini_homogeneous_minus_partitioned,delta_recall_partitioned_minus_homogeneous,pattern_replicated
code_repo_v1,T_blind_code_repo_v1,0.75,0.1994949494949496,0.3,0.95,0.3333333333333333,1.0,0.5505050505050504,0.6499999999999999,True
policy_docset_v1,T_blind_policy_docset_v1,0.7708333333333333,0.3854166666666667,0.7083333333333334,1.0,0.25,0.75,0.3854166666666666,0.29166666666666663,True
