task,task_type,base_condition,base_support_ratio,base_exposure_gini,base_recall,base_false_certification_if_stop,base_controller_decision,broad_condition,broad_support_ratio,broad_exposure_gini,broad_recall,broad_false_certification_if_stop,broad_controller_decision,safe_or_near_complete_condition,safe_or_near_complete_recall,residual_repair_gain,high_potential_repair_gain,random_repair_gain,residual_minus_high_gain,residual_minus_random_gain,residual_cost_normalized_evidence,high_potential_cost_normalized_evidence,residual_false_certification_rate_after_repair,residual_high_overlap_jaccard,residual_high_identical_rate,boundary_note
policy_docset_v1,bounded_generated_scored_subclass,homogeneous,0.25,0.7708333333333333,0.7083333333333334,True,CONTINUE,route_partitioned,0.75,0.3854166666666667,1.0,False,SAFE,route_partitioned,1.0,4.0,0.0,2.025,4.0,1.975,0.125,0.0,,,,"Generated scored subclass; useful for mechanism pattern, weaker for external validity."
code_repo_v1,bounded_generated_scored_subclass,homogeneous,0.3333333333333333,0.75,0.3,True,CONTINUE,route_partitioned,1.0,0.1994949494949496,0.95,False,SAFE,route_partitioned,0.95,9.0,5.0,4.315,4.0,4.685,0.1363636363636363,0.0757575757575757,,,,"Generated scored subclass; useful for mechanism pattern, weaker for external validity."
requests,external_real_repo_pattern_oracle,homogeneous,0.25,0.8885135135135134,0.1040268456375839,True,CONTINUE,route_partitioned,1.0,0.6074016563146998,1.0,False,SAFE,route_partitioned,1.0,177.0,177.0,45.535,0.0,131.465,0.0542611894543224,0.0542611894543224,0.0,1.0,1.0,Residual-potential and high-potential select identical strata; no independent under-exposure evidence.
urllib3,external_real_repo_pattern_oracle,homogeneous,0.2,0.915130023640662,0.1931330472103004,True,CONTINUE,route_partitioned,0.8,0.6471491228070174,0.8354792560801144,True,CONTINUE,extended_audit,1.0,329.0,275.0,92.525,54.0,236.475,0.0622045755341274,0.0626994984040127,0.0,0.6666666666666665,0.0,"Residual-potential has larger total repair gain, but high-potential has similar cost-normalized evidence."
